,text,first_name,last_name,gender,archetype,label,count,max_proper_mention,poss,agent,patient,mod
33224598,"Nik Gustafsson has a secret: He's not really Nik Gustafsson.
He's not a spy. He's not crazy.
He's just the son and heir to one of the most important families in Europe--one where duty always comes first. And his posh, too-public life is suffocating him. So when he gets the chance to attend boarding school in America, pretending to be an average exchange student is too big of a temptation to pass up.
Then he literally runs into Amber on campus. And she hates him at first sight.
It's kind of exhilarating to be hated for who he is, not for his family name or his wealth. Maybe if he turns up the charm and turns down the aloof mask he habitually wears, he can win her over. Even though a bad past experience has made her swear off dating this year.
But the more he gets to know her, the more uncomfortable he is keeping things from her.
Because Nik Gustafsson has a secret. And it's a big one.
Disclaimer: This Entangled Teen Crush book contains a hot boy who's the strong and silent type, a studious girl who refuses to believe in fairy-tale romance, and one epic secret that could be disastrous if it comes to light.",Nik,Gustafsson,male,Everyman,BELONGING,85,Nik,"[('country', 2), ('life', 2), ('silence', 1), ('identity', 1), ('attitude', 1), ('servants', 1), ('people', 1), ('sincereness', 1), ('questions', 1), ('point', 1)]","[('came', 2), ('needed', 2), ('represents', 1), ('lives', 1), ('know', 1), ('speaks', 1), ('stop', 1), ('opened', 1), ('taken', 1), ('keeping', 1)]","[('hate', 3), ('met', 2), ('ship', 1), ('wants', 1), ('liked', 1), ('used', 1), ('dating', 1), ('mocking', 1)]","[('charming', 2), ('prince', 1), ('characters', 1), ('able', 1), ('polite', 1), ('kind', 1), ('rich', 1), ('royal', 1)]"
14431473,"No one is more surprised than Rennie to hear that his late grandfather, whom he hardly knew, has left a mission for him to fulfill. Rennie is to fly to Iceland and deliver a message from beyond the grave, but when he gets there, nothing is simple or straightforward. For one thing, Brynja, the teenage daughter of the family he's staying with, is downright hostile. Her father Einar, who is to be Rennie's guide in Iceland, is preoccupied with looking after his elderly father-in-law, an old friend of Rennie's grandfather. Bored and a little bit annoyed, Rennie explores the town and becomes aware that the family is dealing with more than their grief over Brynja's mother's death the year before. Before he realizes what is happening, his curiosity puts Rennie in grave danger, with no one to trust and no one to save him except himself.
Rennie's adventures start in Slide, part of The Seven Prequels and continue in From the Dead, part of The Seven Sequels.",Rennie,,male,Explorer,INDEPENDENCE,66,Rennie,"[('grandfather', 4), ('father', 4), ('task', 4), ('character', 2), ('guide', 1), ('curiosity', 1), ('adventures', 1), ('life', 1), ('relationship', 1), ('dad', 1)]","[('liked', 2), ('had', 2), ('caring', 2), ('knew', 1), ('fulfill', 1), ('gets', 1), ('staying', 1), ('explores', 1), ('becomes', 1), ('realizes', 1)]","[('puts', 1), ('save', 1), ('lead', 1), ('put', 1), ('caught', 1), ('taking', 1), ('described', 1)]","[('surprised', 1), ('different', 1)]"
7971189,"New enemies, new romance, and new horrors,
Billi's back, and it seems like the Unholy just can't take a hint. 
Still reeling from the death of her best friend, Kay, Billi's thrust back into action when the Templars are called to investigate werewolf activity. And these werewolves are like nothing Bilil's seen before.
They call themselves the Polenitsy - Man Killers. The ancient warrior women of Eastern Europe, supposedly wiped out centuries ago. But now they're out of hiding and on the hunt for a Spring Child -- an Oracle powerful enough to blow the volcano at Yellowstone -- precipitating a Fimbulwinter that will wipe out humankind for good. 
The Templars follow the stolen Spring Child to Russia, and the only people there who can help are the Bogatyrs, a group of knights who may have gone to the dark side. To reclaim the Spring Child and save the world, Billi needs to earn the trust of Ivan Romanov, an arrogant young Bogatyr whose suspicious of people in general, and of Billi in particular. 
Dark Goddessis a page-turning, action-packed sequel that spans continents, from England to the Russian underworld and back. This is an adventure of folklore and myth become darkly real. Of the world running out of time. And of Billi SanGreal, the only one who can save it.",Billi,SanGreal,female,Hero,MASTERY,7,Billi,"[('back', 1), ('friend', 1), ('thrust', 1), ('character', 1)]","[('needs', 1)]",[],[]
15801211,"If what you see is what you get, Jules is in serious trouble. The suspenseful first in a series from the New York Times bestselling author of the Wake trilogy.
Jules lives with her family above their restaurant, which means she smells like pizza most of the time and drives their double-meatball-shaped food truck to school. It's not a recipe for popularity, but she can handle that.
What she can't handle is the recurring vision that haunts her. Over and over, Jules sees a careening truck hit a building and explode...and nine body bags in the snow.
The vision is everywhere--on billboards, television screens, windows--and she's the only one who sees it. And the more she sees it, the more she sees. The vision is giving her clues, and soon Jules knows what she has to do. Because now she can see the face in one of the body bags, and it's someone she knows. Someone she has been in love with for as long as she can remember.
In this riveting start to a gripping series from New York Times bestselling author Lisa McMann, Jules has to act--and act fast--to keep her vision from becoming reality.",Jules,,female,Hero,MASTERY,67,Jules,"[('family', 2), ('wisdom', 2), ('clues', 1), ('vision', 1), ('siblings', 1), ('dad', 1), ('life', 1), ('hints', 1), ('problems', 1), ('lack', 1)]","[('has', 4), ('sees', 3), ('needed', 3), ('handle', 2), ('knows', 2), ('started', 2), ('going', 2), ('lives', 1), ('smells', 1), ('drives', 1)]","[('believe', 2), ('haunts', 1), ('pesters', 1), ('saved', 1), ('robbed', 1)]","[('crazy', 1), ('sure', 1)]"
17729662,"Crystal can't decide between Ryan and Gabriel. She cares about both, but she can't stand the thought of not having either one in her life. Crystal tells Ryan that she's his girlfriend, when in reality she's still seeing Gabriel on the side. Not only does she have to juggle two guys and college, but she has a new roommate with ties to Emily. Will Crystal be able to keep Gabriel a secret from Ryan? Will she finally make a choice? Will she survive her new roommate? Find out in the second book of this thrilling saga.",Ryan,,male,None,NONE,45,Ryan,"[('dad', 2), ('girlfriend', 1), ('love', 1), ('life', 1), ('work', 1), ('building', 1), ('voice', 1)]","[('gets', 3), ('got', 2), ('having', 1), ('going', 1), ('planned', 1), ('winning', 1), ('took', 1), ('fighting', 1), ('find', 1), ('have', 1)]","[('tells', 1), ('picked', 1), ('told', 1), ('keeps', 1), ('liked', 1), ('bring', 1)]","[('OK', 1), ('excited', 1), ('loser', 1), ('mean', 1), ('kind', 1)]"
13489786,"See Jane run. See Jane die.
Instead of celebrating Memorial Day weekend on the Jersey shore, Jane is in the hospital surrounded by teddy bears, trying to piece together what happened last night. One minute she was at a party, wearing fairy wings and cuddling with her boyfriend. The next, she was lying near-dead in a rosebush after a hit and run.
Everyone thinks it was an accident, despite the phone threats Jane swears were real. But the truth is a thorny thing. As Jane's boyfriend, friends, and admirers come to visit, more memories surface--not just from the party, but from deeper in her past...including the night her best friend Bonnie died.
With nearly everyone in her life a suspect now, Jane must unravel the mystery before her killer attacks again. Along the way, she is forced to examine the consequences of her life choices in this compulsively readable thriller.",Jane,,female,Explorer,INDEPENDENCE,15,Jane,"[('boyfriend', 2), ('friends', 1), ('past', 1), ('friend', 1), ('life', 1), ('attacks', 1), ('choices', 1)]","[('lying', 1), ('unravel', 1)]","[('forced', 1)]",[]
25785726,"From the author of Bleed Like Me, which Booklist called edgy, dark, and turbulent with passion comes another compelling and gritty novel about addiction and forbidden romance, starring a fearless, unforgettable heroine.
Natalie's not an alcoholic. She doesn't have a problem. Everybody parties, everybody does stupid things, like getting in their car when they can barely see. Still, with six months of court-ordered AA meetings required, her days of vodka-filled water bottles are over.
Unfortunately, her old friends want the party girl or nothing. Even her up-for-anything ex seems more interested in rehashing the past than actually helping Nat.
But then a recovering alcoholic named Joe inserts himself into Nat's life, and things start looking up. Joe is funny, he's smart, and he calls her out in a way no one ever has.
He's also older. A lot older.
Nat's connection to Joe is overwhelming, but so are her attempts to fit back into her old world, all while battling the constant urge to crack a bottle and blur that one thing she's been desperate to forget.
Now, in order to make a different kind of life, Nat must pull together her broken parts and learn to fight for herself.",Nat,,female,Explorer,INDEPENDENCE,36,Natalie,"[('alcoholic', 1), ('days', 1), ('friends', 1), ('ex', 1), ('attempts', 1), ('world', 1), ('parts', 1), ('behavior', 1), ('life', 1), ('buddies', 1)]","[('have', 1), ('denies', 1), ('remains', 1), ('feeling', 1), ('reminds', 1), ('want', 1), ('parties', 1), ('recognizes', 1), ('using', 1), ('knows', 1)]","[('calls', 1), ('reminds', 1), ('judging', 1), ('liked', 1), ('nagging', 1)]","[('fresh', 1)]"
18517479,"Beatrice Prior is on the brink of a decision that will change her life. In a society divided into factions all are forced to choose where they belong. And the choice Tris makes shocks everyone, including herself.
Once decisions are made, the new members are forced to undergo extreme initiation tests with devastating consequences. As their experience transforms them, Tris must determine who her friends are - and if the man who both threatens and protects her is really on her side.
Because Tris has a deadly secret. And as growing conflict threatens to unravel their seemingly perfect society, this secret might save those Tris loves... or it might destroy her.",Tris,,female,Explorer,INDEPENDENCE,27,Tris,"[('friends', 1), ('side', 1), ('test', 1), ('adventures', 1)]","[('makes', 1), ('determine', 1), ('has', 1), ('loves', 1), ('resembles', 1), ('have', 1), ('decides', 1)]","[('protects', 1), ('destroy', 1), ('know', 1), ('torn', 1), ('born', 1), ('involving', 1), ('picture', 1)]",[]
17427352,"Rafe Khatchadorian is getting the Hollywood treatment in a film version of Middle School: The Worst Years of My Lifestarring Griffin Gluck, Lauren Graham, Rob Riggle and Thomas Barbusca.
Rafe Khatchadorian has enough problems at home without throwing his first year of middle school into the mix. Luckily, he's got an ace plan for the best year ever, if he can pull it off. With his best friend Leonardo the Silent awarding him points, Rafe tries to break every rule in his school's oppressive Code of Conduct. Chewing gum in class - 5,000 points! Running in the hallway - 10,000 points! Pulling the fire alarm - 50,000 points! But when Rafe's game starts to catch up with him, he'll have to decide if winning is all that matters, or if he's finally ready to face the rules, bullies, and truths he's been avoiding.",Rafe,Khatchadorian,male,Outlaw,MASTERY,22,Rafe,"[('year', 1), ('friend', 1), ('school', 1), ('game', 1), ('behaviour', 1)]","[('getting', 1), ('has', 1), ('pull', 1), ('tries', 1), ('have', 1), ('gets', 1), ('did', 1), ('received', 1), ('does', 1)]","[('got', 1), ('avoiding', 1), ('gets', 1)]","[('ready', 1)]"
18308885,"At the start of this breathtaking novel, Ever's beloved Damen has been poisoned. If she gets too close to him, it will activate the poison and bring about a swift and painful death. To break the curse, Ever travels to Summerland and immerses herself in magick - and receives help from a new friend. Although she and Jude have only just met, Ever is mysteriously drawn to him, for he feels startlingly familiar.
As Damen pulls farther away, claiming it's the only way to keep them safe until they find a cure, her connection with Jude grows. And before long she discovers the reason for her feelings: she and Jude shared a complicated past in a previous life. She always thought Damen was her soulmate and her one true love...but now their love is about to be tested like never before.
(c)2009 Alyson Noel; (P)2009 Macmillan Audio",Jude,,male,Lover,BELONGING,4,Jude,[],"[('met', 1), ('shared', 1)]",[],[]
22892448,"Bernice Aurora Wescott has one thing she doesn't want anyone to know: her name. That is, until Bee meets Levi, the local golden boy who runs a charity organization called The Color Project.
Levi is not at all shy about attempting to guess Bee's real name; his persistence is one of the many reasons why Bee falls for him. But while Levi is everything she never knew she needed, giving up her name would feel like a stamp on forever. And that terrifies her.
When unexpected news of an illness in the family drains Bee's summer of everything bright, she is pushed to the breaking point. Losing herself in The Color Project--a world of weddings, funerals, cancer patients, and hopeful families that the charity funds--is no longer enough. Bee must hold up the weight of her family, but to do that, she needs Levi. She'll have to give up her name and let him in completely or lose the best thing that's ever happened to her.
For fans of Stephanie Perkins and Morgan Matson, THE COLOR PROJECT is a story about the three great loves of life--family, friendship, and romance--and the bonds that withstand tragedy.",Levi,,male,Everyman,BELONGING,16,Levi,"[('persistence', 1)]",[],"[('meets', 1), ('needs', 1), ('let', 1), ('loved', 1), ('love', 1)]","[('shy', 1)]"
21797067,"Eleven weeks.
Seven tequila shots.
Five siblings.
Two boys.
One heartbeat.
***
Stacey is good at pretending.
She pretends that the boy she's in love with doesn't exist.
She pretends that she's happy to live and die in this small town.
She pretends that her life is carefree while her best friend's world crumbles before her very eyes.
But Stacey's got a secret ...
And it's going to ruin everything.
***
Eleven Weeksis the story of Kate's best friend, Stacey--and the whole lot of life that can happen in just eleven weeks.
*Second book in the Crazy in Loveseries.",Stacey,,female,Everyman,BELONGING,186,Stacey,"[('story', 8), ('family', 6), ('life', 4), ('friend', 3), ('secret', 3), ('own', 2), ('mother', 2), ('sister', 2), ('siblings', 2), ('character', 2)]","[('wants', 7), ('pretends', 3), ('got', 3), ('has', 3), ('finds', 3), ('does', 3), ('came', 2), ('thinks', 2), ('feel', 2), ('finding', 2)]","[('loved', 4), ('shake', 1), ('kill', 1), ('likes', 1), ('runs', 1), ('describing', 1), ('made', 1), ('bashing', 1), ('support', 1), ('compared', 1)]","[('good', 3), ('pregnant', 3), ('capable', 2), ('happy', 1), ('friend', 1), ('cheerleader', 1), ('stupid', 1), ('lovely', 1), ('supportive', 1), ('selfless', 1)]"
13088309,"This excerpt from Marissa Meyer's Cindercontains for the first five chapters. 
Cinderwill be available January 3, 2012. 
Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless lunar people watch, waiting to make their move. No one knows that Earth's fate hinges on one girl.... Cinder, a gifted mechanic, is a cyborg. She's a second-class citizen with a mysterious past, reviled by her stepmother and blamed for her stepsister's illness. But when her life becomes intertwined with the handsome Prince Kai's, she suddenly finds herself at the center of an intergalactic struggle, and a forbidden attraction. Caught between duty and freedom, loyalty and betrayal, she must uncover secrets about her past in order to protect her world's future. 
Become a fan at: ",Cinder,,female,Hero,MASTERY,35,Cinder,"[('stepmother', 1), ('stepsister', 1), ('life', 1), ('past', 1), ('world', 1), ('character', 1), ('sentiments', 1), ('interest', 1), ('identity', 1), ('remorse', 1)]","[('states', 2), ('finds', 1), ('uncover', 1), ('go', 1), ('lacked', 1), ('thought', 1), ('acted', 1), ('cry', 1), ('Going', 1), ('SOLD', 1)]","[('finds', 1), ('Making', 1), ('see', 1)]","[('cyborg', 3), ('citizen', 1), ('version', 1), ('incapable', 1), ('interested', 1), ('starstruck', 1)]"
17263107,"The more things change...
Ten years ago, the gods of ancient mythology awoke all around the world.
The more things stay the same...
This morning, seventeen-year-old Kyra Locke was late for school.
But that's not out of the ordinary in a transformed Washington, D.C., dominated by the embassies of divine pantheons and watched over by the mysterious Society of the Sun that governs mankind's relations with the gods. What is unusual is Kyra's encounter with two trickster gods on her way home, one offering a threat, and the other a warning.
Kyra escapes with the aid of young operatives from the Society, who inform her that her scholarly father has disappeared from its headquarters at the Library of Congress and taken a dangerous Egyptian relic with him. The Society needs the item back, and they aren't interested in Kyra's protests that she knows nothing about it.
Now Kyra must depend on her wits and the help of everyone from a paranoid ex-boyfriend to scary Sumerian gods to operatives whose allegiance is first and always to the Society. She has no choice if she's going to clear her father's name and recover the missing relic before
the impending summer solstice.
What's at stake? Just the end of the world as Kyra knows it.
From the author of Blackwood comes a fresh, thrilling urban fantasy that will appeal to fans of Neil Gaiman, Cassandra Clare, and Rick Riordan...",Kyra,Locke,female,Hero,MASTERY,79,Kyra,"[('father', 6), ('friends', 4), ('Dad', 4), ('character', 3), ('way', 2), ('protests', 2), ('wits', 2), ('life', 2), ('mother', 2), ('encounter', 1)]","[('knows', 4), ('escapes', 2), ('depend', 2), ('has', 2), ('going', 2), ('lives', 2), ('picked', 1), ('purchased', 1), ('requested', 1), ('read', 1)]","[('inform', 1), ('sells', 1), ('involved', 1), ('save', 1), ('leaving', 1), ('keep', 1), ('following', 1)]","[('late', 2), ('character', 2), ('girl', 1)]"
13560918,"Following Arachnaman's bigoted, hateful attacks, life in beleaguered Vintage City finally quiets down, but it doesn't last long. Eric's father begins to show symptoms of extreme fatigue, symptoms that Eric notices in a number of other people he sees elsewhere. Along with the superheroes, he tries to find a common denominator in all this, the surprising result being a new perfume shop that hawks very strong fragrances. A familiar pair of supervillains is suspected, but before the heroes can further investigate the motives behind this threat, people exhibiting symptoms of illness are transformed in the most shocking way, throwing Vintage City in a state of panic.
In the meantime, Eric monitors the Unofficial Calais Fan Club, which is now exploding with romantic Mary Sue fanfiction involving Calais as well as curious messages posted by a girl who's apparently wildly in love with the superhero. References to her making ""new friends"" alert Eric to suspect that she and the current mayhem being inflicted on Vintage City are somehow tied together. The stakes are now raised for Eric, whose father has become a victim to a new crime wave and whose superhero boyfriend might also be under threat. All this, and he's yet to survive school and find a job.
GENRE: Contemporary * Fantasy * Gay Fiction * Romance * Young Adult
LENGTH: 68,523 words",Eric,,male,Hero,MASTERY,11,Eric,"[('father', 1)]","[('notices', 1), ('sees', 1), ('tries', 1), ('monitors', 1), ('copes', 1)]",[],"[('narrator', 1)]"
31926750,"Inside the gleaming domes of Mars Colony One, seventeen-year-old Lizzy Engram and her fellow cadets work to make the Red Planet habitable.
And every Sunday night, the doctors erase their memories.
Week by week the procedure is carried out. Until one morning, Lizzy wakes with all of the missing memories inside her head. And not just her own, but the memories of every cadet on the planet--from the boy who falls in love with her every week, to the girl who wants to ruin her life, to the cadets who have simply disappeared.
Now balancing the desires, fears, ideas, and secrets of the entire colony, Lizzy has six days to figure out what the doctors are hiding--and why--or she'll lose more than her memories.",Lizzy,,female,Hero,MASTERY,58,Lizzy,"[('memories', 5), ('head', 4), ('cadets', 2), ('friends', 2), ('own', 1), ('life', 1), ('fear', 1), ('confusion', 1), ('desperation', 1), ('resourcefulness', 1)]","[('wakes', 3), ('has', 3), ('lose', 2), ('figure', 2), ('handles', 1), ('figures', 1), ('working', 1), ('begins', 1), ('like', 1), ('thought', 1)]","[('follows', 1), ('presents', 1), ('forced', 1), ('concern', 1), ('liked', 1), ('know', 1), ('love', 1)]","[('strong', 1), ('intelligent', 1), ('resourceful', 1), ('brace', 1), ('antisocial', 1), ('awkward', 1)]"
